"","success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","is_finished","codeversion","is_changedfullscreen","designversion","timepassed_mins","width","height","HaveSeenImages","all_accumulated_accuracy","rt","rt_keypresses","response","keypresses","rt_key_start","rt_key_end","task","id","webaudio","mobile","os","fullscreen","vsync_rate","webcam","microphone","question_order","stimulus","anRepeatedItem","current_assignmentTypesWithinList","is_chosenFinal","is_currentObjAppear1","is_studied_appear0_initial","is_studied_appear1_initial","is_studied_appear2_initial","is_tested_appear0_initial","is_tested_appear1_initial","is_tested_appear2_initial","listNum_appear0_initial","listNum_appear1_initial","stimulusConditionName_nPlusOneTrial","num_CurrObjAppear","stimulusConditions","studyPos_appear0_initial","studyPos_appear1_initial","studyPos_appear2_initial","testPos_appear0_initial","testPos_appear1_initial","testPos_appear2_initial","testPos_final","type_code_studiedCurr","type_code_testiedCurr","type_code_testiedNext","type_comment","id_picName","is_old","correct_response_key","listNum_appear2_initial","listNum_pickedFrom","listNum_infinalOrder","presPos_digit","stimulus_id","sum_currList","correct_response","correct","responsesum","accumulated_accuracy","recognition_correct","correct_appear1","correct_appear2"
"11","","","","","","image-keyboard-response",10,500124,"0.0-5.0-2.0-0.3",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.37,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"initial_study","","","","","",NA,"","","","https://raw.githubusercontent.com/Shu-Lea-Lai/project-visualmemory-sideexp/master/images/1 (871).jpg","true","T_target","true","true","true","true","false","true","true","true",1,1,"Dn","1","Dn","4",4,0,"3",3,20,38,"1","1","1","current target, in next trial","1 (871).jpg","null","null","2",0,"1",NA,NA,NA,NA,NA,"",NA,NA,"",""
"12","","","","","","image-keyboard-response",11,502244,"0.0-5.0-2.0-0.4",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.4,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"initial_study","","","","","",NA,"","","","https://raw.githubusercontent.com/Shu-Lea-Lai/project-visualmemory-sideexp/master/images/1 (15).jpg","true","T_nontarget","false","true","true","true","false","false","false","true",1,1,"Cn","1","Cn","5",5,0,"0",0,29,0,"1","0","1","studied only, in next trial","1 (15).jpg","null","null","2",0,"null",NA,NA,NA,NA,NA,"",NA,NA,"",""
"13","","","","","","image-keyboard-response",12,504373,"0.0-5.0-2.0-0.5",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.44,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"initial_study","","","","","",NA,"","","","https://raw.githubusercontent.com/Shu-Lea-Lai/project-visualmemory-sideexp/master/images/1 (2330).jpg","false","T_nontarget","false","true","true","true","false","false","false","false",1,1,"A","1","A","6",6,0,"0",0,0,0,"1","0","0","studied only, not in trial","1 (2330).jpg","null","null","0",0,"null",NA,NA,NA,NA,NA,"",NA,NA,"",""
"14","","","","","","image-keyboard-response",13,506494,"0.0-5.0-2.0-0.6",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.47,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"initial_study","","","","","",NA,"","","","https://raw.githubusercontent.com/Shu-Lea-Lai/project-visualmemory-sideexp/master/images/1 (1774).jpg","true","T_nontarget","true","true","true","true","false","false","false","true",1,1,"Cn","1","Cn","7",7,0,"0",0,27,1,"1","0","1","studied only, in next trial","1 (1774).jpg","null","null","2",0,"1",NA,NA,NA,NA,NA,"",NA,NA,"",""
"15","","","","","","image-keyboard-response",14,508610,"0.0-5.0-2.0-0.7",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.51,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"initial_study","","","","","",NA,"","","","https://raw.githubusercontent.com/Shu-Lea-Lai/project-visualmemory-sideexp/master/images/1 (1949).jpg","false","T_target","false","true","true","true","false","true","true","false",1,1,"B","1","B","8",8,0,"16",16,0,0,"1","1","0","current target, not in next trial","1 (1949).jpg","null","null","0",0,"null",NA,NA,NA,NA,NA,"",NA,NA,"",""
"16","","","","","","image-keyboard-response",15,510734,"0.0-5.0-2.0-0.8",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.55,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"initial_study","","","","","",NA,"","","","https://raw.githubusercontent.com/Shu-Lea-Lai/project-visualmemory-sideexp/master/images/1 (1743).jpg","true","T_target","false","true","true","true","false","true","true","true",1,1,"Dn","1","Dn","9",9,0,"10",10,28,0,"1","1","1","current target, in next trial","1 (1743).jpg","null","null","2",0,"null",NA,NA,NA,NA,NA,"",NA,NA,"",""
"17","","","","","","image-keyboard-response",16,512853,"0.0-5.0-2.0-0.9",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.58,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"initial_study","","","","","",NA,"","","","https://raw.githubusercontent.com/Shu-Lea-Lai/project-visualmemory-sideexp/master/images/1 (921).jpg","false","T_target","true","true","true","true","false","true","true","false",1,1,"B","1","B","10",10,0,"9",9,0,148,"1","1","0","current target, not in next trial","1 (921).jpg","null","null","0",0,"3",NA,NA,NA,NA,NA,"",NA,NA,"",""
"18","","","","","","image-keyboard-response",17,514980,"0.0-5.0-2.0-0.10",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.62,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"initial_study","","","","","",NA,"","","","https://raw.githubusercontent.com/Shu-Lea-Lai/project-visualmemory-sideexp/master/images/1 (1415).jpg","false","T_target","false","true","true","true","false","true","true","false",1,1,"B","1","B","11",11,0,"4",4,0,0,"1","1","0","current target, not in next trial","1 (1415).jpg","null","null","0",0,"null",NA,NA,NA,NA,NA,"",NA,NA,"",""
"19","","","","","","image-keyboard-response",18,517095,"0.0-5.0-2.0-0.11",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.65,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"initial_study","","","","","",NA,"","","","https://raw.githubusercontent.com/Shu-Lea-Lai/project-visualmemory-sideexp/master/images/1 (1381).jpg","false","T_target","true","true","true","true","false","true","true","false",1,1,"B","1","B","12",12,0,"14",14,0,459,"1","1","0","current target, not in next trial","1 (1381).jpg","null","null","0",0,"10",NA,NA,NA,NA,NA,"",NA,NA,"",""
"20","","","","","","image-keyboard-response",19,519218,"0.0-5.0-2.0-0.12",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.69,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"initial_study","","","","","",NA,"","","","https://raw.githubusercontent.com/Shu-Lea-Lai/project-visualmemory-sideexp/master/images/1 (861).jpg","false","T_target","false","true","true","true","false","true","true","false",1,1,"B","1","B","13",13,0,"8",8,0,0,"1","1","0","current target, not in next trial","1 (861).jpg","null","null","0",0,"null",NA,NA,NA,NA,NA,"",NA,NA,"",""
